id,type,origin,dest,local_time_min,amap_time_min,time_diff_min,time_diff_pct,local_transfers,amap_transfers,transfer_diff,local_stations,amap_stations,station_diff,walking_m,jaccard,lines_match
T72,random,土门,景曜门,10.38,15.50,-5.12,-33.0,0,0,0,5,5,0,317,1.0000,false
T73,random,白马河,汉城路,25.28,27.98,-2.70,-9.7,0,0,0,11,11,0,174,1.0000,true
T74,random,郭杜,西北工业大学,31.56,N/A,N/A,N/A,1,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A
T75,random,田家湾,航天东路,43.65,52.80,-9.15,-17.3,1,1,0,20,20,0,288,1.0000,true
T76,random,大唐西市,米家崖,34.41,41.38,-6.97,-16.9,1,1,0,15,15,0,351,1.0000,false
T77,random,吉祥村,市中医医院,35.00,43.38,-8.38,-19.3,1,1,0,16,16,0,292,0.8824,true
T78,random,龙首原,劳动路,16.86,N/A,N/A,N/A,1,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A
T79,random,复兴大道南,丈八一路,39.01,45.90,-6.89,-15.0,1,1,0,15,15,0,1,1.0000,true
T80,random,枣园,神舟大道,44.28,54.47,-10.19,-18.7,1,1,0,20,20,0,210,1.0000,true
T81,random,长乐坡,市第三医院,25.58,N/A,N/A,N/A,1,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A
T82,random,秦创原中心,凤城十路,56.31,N/A,N/A,N/A,2,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A
T83,random,安化门,浐河,38.92,53.90,-14.98,-27.8,1,1,0,17,17,0,505,1.0000,false
T84,random,大明宫北,景曜门,22.95,30.38,-7.43,-24.5,1,1,0,8,8,0,590,0.7778,false
T85,random,景曜门,新筑,44.36,59.48,-15.12,-25.4,1,1,0,17,17,0,498,0.7895,false
T86,random,广泰门,建筑科技大学·李家村,28.18,37.52,-9.34,-24.9,1,2,-1,12,11,1,535,0.2778,false
T87,random,航天新城,省人民医院·黄雁村,33.96,43.50,-9.54,-21.9,1,1,0,15,15,0,380,1.0000,true
T88,random,镐京,水流,80.37,98.68,-18.31,-18.6,2,2,0,29,29,0,437,0.9333,false
T89,random,白马河,西安国际足球中心,20.88,21.95,-1.07,-4.9,1,1,0,7,7,0,277,1.0000,true
T90,random,景家堡,长乐坡,40.07,52.45,-12.38,-23.6,2,2,0,12,12,0,648,1.0000,false
